YEAR,COUNTYFIPS,STATEFIPS,STATE,ACS_PCT_UNEMPLOY,ACS_PCT_PUBL_TRANSIT
2020,16047,16,Idaho,6.4,0.29
2020,16049,16,Idaho,4.58,0.45
2020,16051,16,Idaho,3.44,2.03
2020,16053,16,Idaho,4.65,0.6
2020,16055,16,Idaho,4.0,0.33
2020,16057,16,Idaho,5.33,0.97
2020,16059,16,Idaho,3.87,0.0
2020,16061,16,Idaho,5.09,0.54
2020,16063,16,Idaho,3.52,1.16
2020,16065,16,Idaho,7.41,0.55
2020,16067,16,Idaho,4.5,0.14
2020,16069,16,Idaho,3.44,0.51
2020,16071,16,Idaho,0.68,0.0
2020,16073,16,Idaho,2.71,0.57
2020,16075,16,Idaho,4.65,0.05
2020,16077,16,Idaho,5.62,0.0
2020,16079,16,Idaho,8.56,0.23
2020,16081,16,Idaho,5.21,2.47
2020,16083,16,Idaho,3.06,0.22
2020,16085,16,Idaho,0.75,0.36
2020,16087,16,Idaho,5.87,0.61
2020,17001,17,Illinois,4.09,0.58
2020,17003,17,Illinois,7.7,2.22
2020,17005,17,Illinois,2.56,0.08
2020,17007,17,Illinois,7.51,0.23
2020,17009,17,Illinois,3.11,0.52
2020,17011,17,Illinois,4.98,0.34
2020,17013,17,Illinois,4.43,0.11
2020,17015,17,Illinois,5.78,0.28
2020,17017,17,Illinois,6.4,0.04
2020,17019,17,Illinois,4.77,5.72
2020,17021,17,Illinois,3.43,0.33
2020,17023,17,Illinois,3.96,0.33
2020,17025,17,Illinois,5.62,0.9
2020,17027,17,Illinois,3.11,1.17
2020,17029,17,Illinois,6.82,0.54
2020,17031,17,Illinois,7.04,19.3
2020,17033,17,Illinois,4.01,0.13
2020,17035,17,Illinois,2.29,0.19
2020,17037,17,Illinois,6.57,1.26
2020,17039,17,Illinois,4.84,0.26
2020,17041,17,Illinois,3.22,0.0
2020,17043,17,Illinois,4.4,7.7
2020,17045,17,Illinois,4.53,0.32
2020,17047,17,Illinois,7.7,0.0
2020,17049,17,Illinois,2.63,0.36
2020,17051,17,Illinois,4.4,0.63
2020,17053,17,Illinois,4.43,0.12
2020,17055,17,Illinois,7.19,0.74
2020,17057,17,Illinois,6.83,0.01
2020,17059,17,Illinois,8.71,0.16
2020,17061,17,Illinois,2.91,0.22
2020,17063,17,Illinois,4.4,0.66
2020,17065,17,Illinois,3.53,0.36
2020,17067,17,Illinois,5.59,0.33
2020,17069,17,Illinois,6.32,2.33
2020,17071,17,Illinois,6.16,0.66
2020,17073,17,Illinois,4.22,0.02
2020,17075,17,Illinois,5.67,0.14
2020,17077,17,Illinois,8.88,1.71
2020,17079,17,Illinois,4.38,0.0
2020,17081,17,Illinois,6.2,0.49
2020,17083,17,Illinois,4.29,0.1
2020,17085,17,Illinois,2.36,0.9
2020,17087,17,Illinois,3.7,0.06
2020,17089,17,Illinois,5.02,2.43
2020,17091,17,Illinois,5.45,1.68
2020,17093,17,Illinois,4.08,1.93
2020,17095,17,Illinois,5.23,0.44
2020,17097,17,Illinois,5.35,4.8
2020,17099,17,Illinois,5.99,0.05
2020,17101,17,Illinois,4.57,0.21
2020,17103,17,Illinois,3.34,0.64
2020,17105,17,Illinois,4.94,0.17
2020,17107,17,Illinois,5.71,0.5
2020,17109,17,Illinois,9.14,1.14
2020,17111,17,Illinois,4.73,2.21
2020,17113,17,Illinois,3.32,1.21
2020,17115,17,Illinois,7.72,1.19
2020,17117,17,Illinois,5.55,0.15
2020,17119,17,Illinois,5.45,1.38
2020,17121,17,Illinois,8.76,0.18
